短文本,文本类型,完整文本,文本含义,文本释义
PCR,预警类别,Purchase Constraint Rounding,采购约束取整,建议数量因 MOQ 或下单倍量被向上取整。
UAQ,预警类别,Unscheduled APS Quantity,APS 未排足数量,APS 计划数量大于已排程数量，只有已排程部分足够 firm 给 MRP 使用。
NA,调整动作,No Adjustment,不调整,匹配供应无需提前、延后、取消或复核。
EXP,调整动作,Expedite,建议提前,供应晚于需求日期，建议催交或提前。
DLY,调整动作,Delay,建议延后,供应早于需求日期，建议延后到货。
CXL,调整动作,Cancel,建议取消,超额供应建议取消。
REV,调整动作,Review,人工复核,需要人工判断是否保留、延后、取消或重分配。
CMR,调整动作/建议动作,Create Material Request,创建物料需求,建议释放后生成 Material Request。
CPB,调整动作/建议动作,Consume Prebuy,冲销预采,使用历史预测预采抵扣 firm APS 需求。
RXP,调整动作/建议动作,Review Excess Prebuy,复核超额预采,firm APS 后剩余预采需要人工复核处理。
NEW,运算对比,New,新增,当前运算中新增的需求行。
REMO,运算对比,Removed,移除,上一运算存在但当前运算不再存在的需求行。
UNCH,运算对比,Unchanged,未变化,当前净需求与上一运算基本一致。
INCR,运算对比,Increased,增加,当前净需求高于上一运算。
DECR,运算对比,Decreased,减少,当前净需求低于上一运算。
CUR,匹配标识,Current Item,当前物料,BOM 展开视图中标记当前正在查看的物料。
MPLM,角色,MPLM,计划经理,MRP 主负责人，可运行 MRP、维护规则、审核并应用建议批次。
MPLP,角色,MPLP,计划员,MRP 日常操作人，可运行 MRP、编辑建议批次并应用建议。
GMC,角色,GMC,管理复核角色,可查看、导出、复核异常和风险，不直接执行 MRP 主动作。
PMC,角色,PMC,计划协同角色,查看需求、欠料、供需匹配和预警，协同确认生产影响。
